English,Arabic
I,انا (ana)
He,هو (howa)
On,على (ala)
Who,الذي (alladhee)
Not,ليس (laysa)
This,الهذا (alhatha)
From/Of,من (min)
And,و (wa)
In,في (fi)
That,أن (an)
To be,تكون (takun)
I have,لدي (lady)
With,مع (maa)
It,أنه (annahu)
After,بعد (baad)
That,أن (an)
By,بواسطة (biwasita)
To him,له (lahu)
Also,ايضا (iidaan)
Was,كان (kana)
Which,الذي (aldhy)
She,هي (hiya)
Is,هل (hal)
You,انت (anta)
Or,أو (aw)
But,لكن (lakin)
They,اللذين (alladhyna)
He has,لديه (ladayh)
No,لا (la)
To,الى (ila)
May/Can,قد (qad)
Who (plural),الذين (aldhyn)
At,عند (End)
We,نحن (Nahn)
Between,بين (bein)
That,ذلك (thalika)
Under,تحت (Taht)
Is (verb),يكون (yakun)
Other,آخر (akhar)
Which (masc),الذى (aldhaa)
Said (masc),قال (qal)
As for,أما (ama)
Who (fem),اللاتى (al lati)
Before,قبل (qabl)
Every/All,كل (kul)
About,عن (aan)
Small,صغير (saghir)
Far,بعيد (baeed)
New,جديد (jadeed)
Big,كبير (kabeer)
I see,أرى (ara)
Okay/Well,حسنا (hasanan)
Around,حول (hawl)
Work,العمل (al amal)
Like,مثل (mithl)
I love,أحب (uhib)
I know,أدري (adri)
Country,بلد (balad)
I know,أعلم (a'lam)
Outside,في الخارج (fi al kharij)
Became,أصبح (asbah)
I give,أعطي (ati)
Day,يوم (yawm)
Year,السنة (al sana)
Night,الليل (al lail)
Help,تساعد (tusaed)
Spirit,الروح (al ruh)
Faith,إيمان (iman)
I think,أفكر (afakir)
He saw,رأى (ra'a)
He saw,رأى (ra'a)
Water,الماء (al mai)
Quickly,بسرعة (bisurah)
Mountain,الجبل (al jabal)
He eats,يأكل (yakul)
Food,طعام (ta'am)
Life,الحياة (al haya)
Love,الحب (al hubb)
Sun,الشمس (al shams)
Moon,القمر (al qamar)
Earth,الأرض (al ard)
Forest,غابة (ghaba)
City,المدينة (al madinah)
Street,الشارع (al share)
Sea,البحر (al bahr)
School,المدرسة (al madrasa)
Desert,الصحراء (al sahra)
He reads,يقرأ (yaqra)
Book,كتاب (kitaab)
Idea,فكرة (fikrah)
Conversation,الحديث (al hadeeth)
Time,الوقت (al waqt)
Place,المكان (al makan)
Tomorrow,غدا (ghadan)
Sky,السماء (al samaa)
Stars,النجوم (al nujoom)
Money,مال (mal)
Education,التعليم (al taaleem)
Children,الأطفال (al atfaal)
Hope,الأمل (al amal)
